question,optionA,optionB,optionC,optionD,correctAnswer
Choose the word nearest in meaning to "Reluctant",Eager,Willing,Hesitant,Ready,C
Choose the word opposite in meaning to "Scarce",Rare,Plentiful,Little,Empty,B
Fill in the blank: She has lived here _ 2015.,since,for,from,by,A
Choose the correctly spelt word.,Occassion,Ocassion,Occasion,Ocaasion,C
Neither the boys nor the teacher _ present.,are,were,is,be,C
He spoke too _ to be heard.,soft,softer,softly,softest,C
Choose the word opposite in meaning to "Generous",Kind,Selfish,Helpful,Friendly,B
The committee insisted _ proper documentation.,on,in,at,for,A
Choose the word nearest in meaning to "Brief",Short,Long,Tall,Wide,A
She is good _ Mathematics.,in,on,at,for,C
Choose the correctly spelt word.,Definately,Definitely,Definetely,Definatly,B
The students were accused _ cheating.,for,of,with,by,B
Choose the word opposite in meaning to "Victory",Success,Triumph,Defeat,Win,C
He arrived _ the meeting had started.,before,after,while,until,B
Choose the word nearest in meaning to "Ancient",Modern,Old,New,Recent,B
Fill in the blank: She prefers rice _ beans.,than,more,over,to,D
Choose the correctly spelt word.,Embarrasment,Embarrassment,Embarassment,Embarrassmant,B
The man as well as his children _ coming.,are,were,is,be,C
Choose the word opposite in meaning to "Optimistic",Hopeful,Positive,Pessimistic,Cheerful,C
He is interested _ learning French.,on,in,at,for,B
Choose the word nearest in meaning to "Bold",Cowardly,Brave,Timid,Weak,B
Fill in the blank: This is the boy _ won the prize.,which,who,whom,whose,B
Choose the correctly spelt word.,Privilege,Priviledge,Privillage,Privelege,A
She was absent _ illness.,for,of,because,from,D
Choose the word opposite in meaning to "Increase",Reduce,Rise,Add,Multiply,A
He drives more carefully _ his brother.,than,then,that,as,A
Choose the word nearest in meaning to "Assist",Help,Stop,Hinder,Block,A
Fill in the blank: I look forward _ seeing you.,to,for,at,on,A
Choose the correctly spelt word.,Maintanance,Maintenance,Maintenence,Maintnance,B
The news _ surprising.,are,were,is,be,C
Choose the word opposite in meaning to "Accept",Receive,Refuse,Agree,Admit,B
She divided the cake _ the children.,between,among,across,into,B
Choose the word nearest in meaning to "Rapid",Slow,Fast,Weak,Calm,B
